Prompt,Category,Subject,Context Dependency
"If you heat water to 100°C at sea level, what happens?",Commonsense,Chemistry,No
Translate to Hindi: 'Friendship is a treasure.',Instruction,Language,No
Explain the Big Bang theory briefly.,Knowledge,Astronomy,No
Write a function to reverse a string in Java.,Programming,Computer Science,No
Read the fable and discuss its moral in modern terms.,Reading,Literature,Yes
Who is known as the Father of Computing?,Knowledge,Computer Science,No
"Paraphrase Einstein's quote: ""Imagination is more important than knowledge.""",Instruction,Philosophy,No
What causes earthquakes?,Knowledge,Geology,No
Invent a recipe for a futuristic dessert using lab-grown ingredients.,Creative,Culinary Arts,No
Calculate the perimeter of a rectangle 5 by 8.,Math,Geometry,No
Why is recycling important for the planet?,Commonsense,Environment,No
Draft a business proposal for a solar panel installation service.,Instruction,Business,No
User: I need outfit ideas. AI: For what occasion? User: Job interview.,Dialogue,Fashion,Yes
Summarize the article on AI ethics in 4 bullets.,Reading,Computer Science,Yes
What is the boiling point of ethanol?,Knowledge,Chemistry,No
Write Python code to sort a list of dictionaries by key.,Programming,Computer Science,No
Compose a haiku about coding late at night.,Creative,Computer Science,No
"Find the mean of 10, 20, 30, 40.",Math,Statistics,No
Explain how democracy functions in ancient Athens versus today.,Knowledge,History,No
"If a book has 300 pages and you read 50 per day, how many days?",Math,Arithmetic,No
Read the speech and identify rhetorical devices used.,Reading,Literature,Yes
Who discovered America?,Knowledge,History,No
Design a comic strip about a robot learning emotions.,Creative,Literature,No
Why do we have leap years?,Commonsense,Astronomy,No
Translate to Swedish: 'Music soothes the soul.',Instruction,Language,No
Write a method to encrypt text using Caesar cipher in Python.,Programming,Computer Science,No
Outline a workout routine for beginners focusing on core strength.,Instruction,Health,No
What is photosynthesis?,Knowledge,Biology,No
User: Book a flight. AI: From where to where? User: NYC to LA.,Dialogue,Travel,Yes
"Compute variance for [1,2,3,4,5].",Math,Statistics,No
Explain the Monroe Doctrine's impact on US foreign policy.,Knowledge,History,No
Read the ad copy and suggest improvements for clarity.,Reading,Business,Yes
What is the symbol for iron?,Knowledge,Chemistry,No
Invent a spell for a fantasy world that controls weather patterns.,Creative,Literature,No
Solve 3x + 4 = 19.,Math,Algebra,No
Why do prices rise during inflation?,Commonsense,Economics,No
Write a SQL join query for users and their posts.,Programming,Computer Science,No
"Compose an acrostic poem using the word ""ECOLOGY"".",Creative,Environment,No
What is the tallest mountain?,Knowledge,Geography,No
Paraphrase the contract clause on non-disclosure.,Instruction,Law,Yes
"If you mix oil and water, why don't they blend?",Commonsense,Chemistry,No
Explain string theory in simple terms.,Knowledge,Physics,No
Design a user journey map for an e-commerce checkout process.,Creative,Business,No
Read the diary entry and infer the writer's emotional state.,Reading,Literature,Yes
"Translate to Mandarin: 'Dream big, work hard.'",Instruction,Language,No
"Who wrote ""To Kill a Mockingbird""?",Knowledge,Literature,No
Write a bubble sort implementation in JavaScript.,Programming,Computer Science,No
Summarize the debate on universal basic income pros and cons.,Instruction,Economics,Yes
What causes tides?,Knowledge,Astronomy,No
User: Fix my resume. AI: Send it over. User: [resume text],Dialogue,Career,Yes
Calculate compound interest: $1000 at 3% for 2 years.,Math,Finance,No
Why do elephants have trunks?,Commonsense,Biology,No
Compose a story in 100 words about a time-traveling librarian.,Creative,Literature,No
Find the derivative of e^x.,Math,Calculus,No
Explain the Electoral College system.,Knowledge,Civics,No
Read the news and fact-check two claims made.,Reading,Media Literacy,Yes
What is DNA?,Knowledge,Biology,No
Write a generator function in Python for Fibonacci.,Programming,Computer Science,No
Outline negotiation tactics for salary discussions.,Instruction,Career,No
"If a die is rolled, probability of even number?",Math,Probability,No
Design a poster slogan for anti-bullying campaign.,Creative,Education,No
Who was Cleopatra?,Knowledge,History,No
Why do we dream?,Commonsense,Psychology,No
Translate to Dutch: 'Adventure awaits those who seek.',Instruction,Language,No
Write a test case for a login function using pytest.,Programming,Computer Science,No
"Summarize ""1984"" themes in bullets.",Reading,Literature,Yes
What is gravity?,Knowledge,Physics,No
Invent a gadget that solves traffic jams in cities.,Creative,Technology,No
Solve quadratic: x^2 + 4x + 4 = 0.,Math,Algebra,No
Explain supply chain disruptions during pandemics.,Knowledge,Economics,No
User: What's healthy to eat? AI: Veggies. User: Recipes?,Dialogue,Health,Yes
Paraphrase the thesis on climate policy failures.,Instruction,Environment,Yes
What is the smallest prime number?,Math,Number Theory,No
Read the code review comments and prioritize fixes.,Reading,Computer Science,Yes
Who founded Microsoft?,Knowledge,Computer Science,No
Compose a tweet thread explaining blockchain basics.,Creative,Technology,No
Why do batteries die?,Commonsense,Electronics,No
Write an API endpoint in Node.js for user registration.,Programming,Computer Science,No
Outline a project timeline for launching a podcast.,Instruction,Media,No
"Calculate BMI for height 1.75m, weight 70kg.",Math,Health,No
Explain the fall of the Roman Empire briefly.,Knowledge,History,No
Design a character backstory for a fantasy RPG.,Creative,Literature,No
"If pH=7, is the solution acidic, basic, or neutral?",Commonsense,Chemistry,No
Translate to Polish: 'Hope is the thing with feathers.',Instruction,Language,No
What is machine learning?,Knowledge,Computer Science,No
Write a decorator in Python for timing functions.,Programming,Computer Science,No
Read the memo and draft a response addressing concerns.,Reading,Business,Yes
"Who sings ""Bohemian Rhapsody""?",Knowledge,Music,No
Invent a holiday celebrating innovation.,Creative,Culture,No
Find limit as x->0 of sin(x)/x.,Math,Calculus,No
Why do stars twinkle?,Commonsense,Astronomy,No
Summarize the interview on sustainable agriculture.,Instruction,Environment,Yes
User: Motivate me. AI: You've got this! User: For what?,Dialogue,Psychology,Yes
What is the atomic mass of oxygen?,Knowledge,Chemistry,No
Write a merge sort algorithm in pseudocode.,Programming,Computer Science,No
Explain cultural appropriation with examples.,Knowledge,Culture,No
Compose a free verse poem on urban isolation.,Creative,Literature,No
Solve 4! (factorial).,Math,Arithmetic,No
Read the prophecy in the fantasy book and predict the outcome.,Reading,Literature,Yes
Who was the first female Nobel laureate?,Knowledge,History,No
Design a workout app feature for progress tracking.,Creative,Health,No
"If you charge a phone overnight, why unplug in morning?",Commonsense,Technology,No
Translate to Turkish: 'Knowledge is the key to success.',Instruction,Language,No
What causes rainbows?,Knowledge,Physics,No
Write a unit test for addition function.,Programming,Computer Science,No
Outline debate points against social media bans.,Instruction,Technology,No
Calculate speed: 200 miles in 4 hours.,Math,Arithmetic,No
Explain quantum computing basics.,Knowledge,Computer Science,No
User: Plan date night. AI: Dinner and movie? User: Budget-friendly.,Dialogue,Relationships,Yes
Paraphrase the executive summary on market trends.,Instruction,Business,Yes
What is the equator?,Knowledge,Geography,No
Invent a superhero villain duo based on climate deniers.,Creative,Environment,No
"Find the median of 1,3,5,7,9.",Math,Statistics,No
Why do we age?,Commonsense,Biology,No
Read the contract and spot potential loopholes.,Reading,Law,Yes
"Who directed ""The Godfather""?",Knowledge,Film,No
Write a script to scrape weather data using BeautifulSoup.,Programming,Computer Science,No
Compose a eulogy for a fictional inventor.,Creative,Literature,No
What is 9^2?,Math,Arithmetic,No
Explain the role of bees in pollination.,Knowledge,Biology,No
Design a board game about space exploration.,Creative,Astronomy,No
"If glass breaks, why is it sharp?",Commonsense,Physics,No
Translate to Korean: 'Perseverance leads to victory.',Instruction,Language,No
"Summarize ""Pride and Prejudice"" central conflict.",Reading,Literature,Yes
What is the half-life concept in radioactivity?,Knowledge,Physics,No
Write a lambda function for squaring numbers.,Programming,Computer Science,No
Outline steps for conflict resolution in teams.,Instruction,Business,No
User: What's vegan? AI: No animal products. User: Alternatives?,Dialogue,Health,Yes
"Calculate volume of cylinder r=3, h=10.",Math,Geometry,No
Who was Frida Kahlo?,Knowledge,Art,No
Invent a recipe using only pantry staples for dessert.,Creative,Culinary Arts,No
Read the blog on freelancing and list pros/cons.,Reading,Career,Yes
Explain how WiFi works simply.,Knowledge,Technology,No
Solve log10(100).,Math,Calculus,No
Why do onions make you cry?,Commonsense,Biology,No
Write a CSS animation for a loading spinner.,Programming,Computer Science,No
Compose a limerick about a forgetful wizard.,Creative,Literature,No
What is the ozone layer's function?,Knowledge,Environmental Science,No
Design a flyer for a community clean-up event.,Creative,Environment,No
"If you invest $500 at 5%, how much after 1 year simple interest?",Math,Finance,No
Translate to Greek: 'Philosophy begins in wonder.',Instruction,Language,No
Explain the Silk Road's historical significance.,Knowledge,History,No
User: Help with math homework. AI: What problem? User: 2x=10.,Dialogue,Education,Yes
"Paraphrase the poem ""If"" by Kipling.",Instruction,Literature,Yes
What is a black hole?,Knowledge,Astronomy,No
Write a Docker command to build an image.,Programming,Computer Science,No
Read the review and recommend based on preferences.,Reading,Film,Yes
Who invented the light bulb?,Knowledge,History,No
Invent a myth for the creation of rain.,Creative,Mythology,No
Find the range of f(x)=x^2.,Math,Calculus,No
Why do we need sleep?,Commonsense,Health,No
Summarize the key findings of a study on remote work productivity.,Instruction,Business,Yes
Calculate 20% of 250.,Math,Arithmetic,No
Explain Mendel's laws of inheritance.,Knowledge,Biology,No
Write a React component for a todo list item.,Programming,Computer Science,No
Compose a sonnet on lost love.,Creative,Literature,No
What is the greenhouse gas most responsible for warming?,Knowledge,Environment,No
Design an infographic idea for water conservation tips.,Creative,Environment,No
Read the letter and reply empathetically.,Reading,Relationships,Yes
Translate to Finnish: 'Nature is the best teacher.',Instruction,Language,No
Who was Martin Luther King Jr.?,Knowledge,History,No
Outline a lesson plan for teaching fractions to grade 3.,Instruction,Education,No
"If a coin flip is heads 3 times, is it rigged?",Commonsense,Probability,No
Write a bash one-liner to count files in directory.,Programming,Computer Science,No
Explain the difference between AC and DC current.,Knowledge,Electronics,No
User: Recommend a podcast. AI: On what? User: True crime.,Dialogue,Media,Yes
What is the capital of Brazil?,Knowledge,Geography,No
Invent a board game mechanic for resource management in a post-apocalyptic world.,Creative,Literature,No
Solve integral of 1/x dx.,Math,Calculus,No
Why do leaves fall in autumn?,Commonsense,Biology,No
Read the policy brief and suggest amendments.,Reading,Civics,Yes
Calculate the hypotenuse of 5-12-13 triangle.,Math,Geometry,No
"Who composed ""Moonlight Sonata""?",Knowledge,Music,No
Design a mobile app icon for a meditation guide.,Creative,Health,No
"Paraphrase: ""Success requires hard work and persistence.""",Instruction,Career,No
What causes volcanic eruptions?,Knowledge,Geology,No
Write a function to find duplicates in a list.,Programming,Computer Science,No
Compose a short story about a parallel universe where animals rule.,Creative,Literature,No
Explain fiscal policy tools.,Knowledge,Economics,No
User: What's the time? AI: 3 PM. User: In what zone?,Dialogue,Daily Life,Yes
Summarize the chapter on World War I alliances.,Reading,History,Yes
What is the formula for distance?,Knowledge,Physics,No
Translate to Indonesian: 'Unity in diversity.',Instruction,Language,No
Who was the first computer programmer?,Knowledge,Computer Science,No
Outline steps to start a blog.,Instruction,Media,No
"If you add acid to base, what happens?",Commonsense,Chemistry,No
Write a SQL subquery to find second highest salary.,Programming,Computer Science,No
Design a tattoo idea symbolizing resilience.,Creative,Art,No
Read the feedback form and analyze trends.,Reading,Business,Yes
Calculate 8! / 5!.,Math,Arithmetic,No
Explain the water cycle stages.,Knowledge,Geography,No
Invent a cocktail recipe inspired by space travel.,Creative,Culinary Arts,No
Why do magnets attract?,Commonsense,Physics,No
Compose a dialogue between rivals in a sports drama.,Dialogue,Literature,Yes
What is the population of Tokyo? Approximate.,Knowledge,Geography,No
Write a memo on team building activities.,Instruction,Business,No
Solve for x in sin(x) = 0.5.,Math,Calculus,No
Who painted the Sistine Chapel ceiling?,Knowledge,Art,No
Design a virtual reality experience for history lessons.,Creative,Education,No
Read the poem and identify metaphors used.,Reading,Literature,Yes
Translate to Vietnamese: 'Learning never exhausts the mind.',Instruction,Language,No
Explain cryptocurrency basics.,Knowledge,Economics,No
Write a Git command sequence for branching and merging.,Programming,Computer Science,No
Summarize the pros of electric vehicles.,Instruction,Environment,No
User: I feel anxious. AI: Breathe deeply. User: More tips?,Dialogue,Health,Yes
What is the square root of 81?,Math,Arithmetic,No
Why do we have fingerprints?,Commonsense,Biology,No
Compose an ode to coffee.,Creative,Daily Life,No
"Calculate the mode of 2,2,3,4,4,4.",Math,Statistics,No
Explain the Paris Agreement goals.,Knowledge,Environment,No
Read the user manual excerpt and troubleshoot the error.,Reading,Technology,Yes
Who discovered gravity?,Knowledge,Physics,No
Invent a spellbinding tale of a cursed artifact.,Creative,Literature,No
Find the integral of cos(x).,Math,Calculus,No
Design a packaging for eco-friendly products.,Creative,Business,No
"If you drop a ball in water, does it sink or float? Depends on what.",Commonsense,Physics,No
Write a Python script for sentiment analysis using NLTK.,Programming,Computer Science,No
Outline a travel itinerary for a weekend in Rome.,Instruction,Travel,No
"Translate to Thai: 'Smile, it's contagious.'",Instruction,Language,No
What is the main export of Saudi Arabia?,Knowledge,Economics,No
User: Buy tickets. AI: For event? User: Concert tomorrow.,Dialogue,Entertainment,Yes
Paraphrase the mission statement for clarity.,Instruction,Business,Yes
Solve 6x = 42.,Math,Algebra,No
Explain the butterfly effect in chaos theory.,Knowledge,Physics,No
Compose a rap about healthy eating habits.,Creative,Health,No
Read the article on space tourism and discuss feasibility.,Reading,Astronomy,Yes
What is RNA's role?,Knowledge,Biology,No
Write a frontend form validation in HTML/JS.,Programming,Computer Science,No
Design a logo for a tech startup focused on AI.,Creative,Technology,No
Why do we blush?,Commonsense,Psychology,No
Calculate 300 * 0.08.,Math,Arithmetic,No
Who was the last Pharaoh?,Knowledge,History,No
"Summarize the book ""Sapiens"" main thesis.",Reading,History,Yes
Invent a gadget for sustainable farming.,Creative,Environment,No
Explain how solar panels work.,Knowledge,Environmental Science,No
Write a stored procedure in SQL for inventory update.,Programming,Computer Science,No
Outline meditation techniques for stress relief.,Instruction,Health,No
User: What's new? AI: New album out. User: Link?,Dialogue,Music,Yes
What is the derivative of x^4?,Math,Calculus,No
Translate to Norwegian: 'The future is renewable.',Instruction,Language,No
Who founded Amazon?,Knowledge,Business,No
Compose a story about a robot's first friendship.,Creative,Literature,No
Read the complaint and draft a resolution email.,Reading,Business,Yes
Why do tires need air?,Commonsense,Physics,No
Write a makefile for a C project.,Programming,Computer Science,No
Design a campaign hashtag for mental health awareness.,Creative,Health,No
Calculate the probability of drawing a red card from a deck.,Math,Probability,No
Explain the Renaissance art characteristics.,Knowledge,Art,No
"If you freeze water, what expands?",Commonsense,Chemistry,No
Summarize the lecture on quantum mechanics.,Instruction,Physics,Yes
Who was Turing?,Knowledge,Computer Science,No
Invent a fairy tale with a moral on honesty.,Creative,Literature,No
"Solve for y: y = mx + b, m=2, b=3, x=4.",Math,Algebra,No
Read the script and suggest plot improvements.,Reading,Film,Yes
What is the capital of Sweden?,Knowledge,Geography,No
Write a cron job for daily backups.,Programming,Computer Science,No
Compose a poem on the beauty of mathematics.,Creative,Math,No
Explain net neutrality.,Knowledge,Technology,No
User: Renew subscription. AI: Card details? User: On file.,Dialogue,Business,Yes
Paraphrase the warning label for safety.,Instruction,Safety,No
What causes auroras?,Knowledge,Astronomy,No
Design a website wireframe for a bookstore.,Creative,Technology,No
Calculate 15^2.,Math,Arithmetic,No
Why do we have tonsils?,Commonsense,Biology,No
Translate to Hebrew: 'Peace comes from within.',Instruction,Language,No
Who wrote the Declaration of Independence?,Knowledge,History,No
Write a unit test for string reversal.,Programming,Computer Science,No
Outline a budget for a family vacation.,Instruction,Finance,No
Read the myth and compare to modern superstitions.,Reading,Culture,Yes
What is the pH of pure water?,Knowledge,Chemistry,No
Compose a dialogue between AI and human on ethics.,Dialogue,Technology,Yes
Find the LCM of 9 and 12.,Math,Number Theory,No
Explain the food chain in ecosystems.,Knowledge,Biology,No
Invent a superhero power based on photosynthesis.,Creative,Biology,No
Why do echoes happen?,Commonsense,Physics,No
Summarize the report on biodiversity loss.,Instruction,Environment,Yes
Write a Java enum for days of week.,Programming,Computer Science,No
Design a sticker series for motivational quotes.,Creative,Psychology,No
Calculate area of square side 6.,Math,Geometry,No
Who was the first to climb Everest?,Knowledge,History,No
Read the ad and evaluate its target audience.,Reading,Business,Yes
"Translate to Latin: 'Carpe diem.' Meaning? Wait, translate 'Seize the day.'",Instruction,Language,No
Explain blockchain beyond crypto.,Knowledge,Technology,No
User: Track order. AI: Order number? User: 12345.,Dialogue,Business,Yes
What is the boiling point of alcohol?,Knowledge,Chemistry,No
Write a Python list comprehension for squares.,Programming,Computer Science,No
Compose a short play about sibling rivalry.,Creative,Literature,No
Solve 10x + 5 = 95.,Math,Algebra,No
Why do we celebrate Halloween?,Commonsense,Culture,No
Outline a recipe for homemade pizza dough.,Instruction,Culinary Arts,No
Read the biography snippet and note influences.,Reading,Literature,Yes
What is the speed of sound? Approx.,Knowledge,Physics,No
Design a puzzle app for logic training.,Creative,Math,No
Calculate 7*8.,Math,Arithmetic,No
Explain why Pluto is not a planet.,Knowledge,Astronomy,No
Write a function to hash a password.,Programming,Computer Science,No
Summarize the essay on feminism waves.,Instruction,History,Yes
Who was Shakespeare?,Knowledge,Literature,No
Invent a world where dreams are currency.,Creative,Literature,No
"If you heat metal, it expands; why?",Commonsense,Physics,No
Translate to Esperanto: 'World peace.',Instruction,Language,No
What is the main religion in India?,Knowledge,Culture,No
User: Cancel appointment. AI: Reason? User: Sick.,Dialogue,Health,Yes
"Paraphrase the slogan ""Just Do It.""",Instruction,Marketing,No
Find the derivative of tan(x).,Math,Calculus,No
Read the code and debug the infinite loop.,Reading,Computer Science,Yes
Who invented the steam engine?,Knowledge,History,No
Compose a blues song lyric about lost love.,Creative,Music,No
Calculate the circumference of circle r=5.,Math,Geometry,No
Explain the role of insulin.,Knowledge,Biology,No
Write a REST API in Flask for books.,Programming,Computer Science,No
Design a book cover for a sci-fi novel.,Creative,Literature,No
Why do we sweat?,Commonsense,Biology,No
Outline a sales pitch for solar energy.,Instruction,Business,No
Read the forecast and plan outdoor activities.,Reading,Weather,Yes
What is the chemical formula for salt?,Knowledge,Chemistry,No
Invent a dance move named after algorithms.,Creative,Art,No
Solve 2^10.,Math,Arithmetic,No
Explain dark matter.,Knowledge,Astronomy,No
User: What's for lunch? AI: Salad. User: Make it quick.,Dialogue,Daily Life,Yes
Summarize the policy on data privacy.,Instruction,Technology,Yes
Who was the first to reach the South Pole?,Knowledge,History,No
Write a YAML config for CI/CD pipeline.,Programming,Computer Science,No
Compose a tanka about cherry blossoms.,Creative,Literature,No
Calculate 100 / 4.,Math,Arithmetic,No
Why do raindrops fall?,Commonsense,Physics,No
Translate to Swahili: 'Unity is strength.',Instruction,Language,No
What is the capital of Egypt?,Knowledge,Geography,No
Design a menu for a fusion restaurant.,Creative,Culinary Arts,No
Read the riddle and solve it.,Reading,Logic,Yes
Explain the Hawthorne effect.,Knowledge,Psychology,No
Write a binary search tree insert in Python.,Programming,Computer Science,No
Outline a yoga sequence for beginners.,Instruction,Health,No
"If you mix baking powder and heat, what happens in cake?",Commonsense,Chemistry,No
Compose a monologue for a heartbroken character.,Creative,Literature,No
What is the derivative of 1/x?,Math,Calculus,No
Who founded Buddhism?,Knowledge,Culture,No
Design an escape room puzzle based on history.,Creative,History,No
Read the tweet thread and summarize the argument.,Reading,Media Literacy,Yes
Calculate the sum 1 to 100 using formula.,Math,Arithmetic,No
Explain how composting works.,Knowledge,Environment,No
Write a Vue component for a counter.,Programming,Computer Science,No
"Summarize the fable ""The Tortoise and the Hare.""",Instruction,Literature,Yes
User: Find a joke. AI: Why did chicken cross road? User: To get other side.,Dialogue,Humor,Yes
What is the atomic number of helium?,Knowledge,Chemistry,No
Invent a constellation story for modern times.,Creative,Astronomy,No
Solve triangle angles sum.,Math,Geometry,No
Why do we have eyebrows?,Commonsense,Biology,No
Translate to Zulu: 'I am because we are.',Instruction,Language,No
Who was the first astronaut?,Knowledge,History,No
Write a shell script to backup files.,Programming,Computer Science,No
Compose a quatrain on hope.,Creative,Literature,No
Read the abstract and list hypotheses.,Reading,Research Methods,Yes
What causes wind?,Knowledge,Meteorology,No
Design a trading card for mythical creatures.,Creative,Literature,No
Calculate 25% of 80.,Math,Arithmetic,No
Explain the Doppler effect.,Knowledge,Physics,No
Outline a debate on gun control.,Instruction,Civics,No
User: What's the score? AI: 2-1. User: Who scored?,Dialogue,Sports,Yes
"Paraphrase the proverb ""A bird in hand is worth two in bush.""",Instruction,Language,No
What is the largest desert?,Knowledge,Geography,No
Write a regex to match emails.,Programming,Computer Science,No
Compose a story prompt for writers' group.,Creative,Literature,No
"Find the variance of [5,7,9].",Math,Statistics,No
Why do we hiccup?,Commonsense,Biology,No
Read the menu and suggest pairings.,Reading,Culinary Arts,Yes
Who invented the wheel?,Knowledge,History,No
Design a mood board for a bedroom remodel.,Creative,Design,No
Solve e^0.,Math,Calculus,No
Explain the Krebs cycle simply.,Knowledge,Biology,No
Write a POST request in curl.,Programming,Computer Science,No
Summarize the news on EV market growth.,Instruction,Economics,Yes
Calculate pi approx 22/7.,Math,Number Theory,No
Who was the voice of Mickey Mouse?,Knowledge,Entertainment,No
Invent a cocktail for book lovers.,Creative,Literature,No
"If you rub a balloon on hair, what happens?",Commonsense,Physics,No
Translate to Irish: 'May the road rise to meet you.',Instruction,Language,No
What is the capital of South Africa?,Knowledge,Geography,No
Write a simple neural net in PyTorch.,Programming,Computer Science,No
Compose a pantoum about cycles of life.,Creative,Literature,No
Read the log and identify the error pattern.,Reading,Technology,Yes
Explain the Treaty of Versailles.,Knowledge,History,No
Design a flashcard set for vocabulary building.,Creative,Education,No
Calculate 16/4.,Math,Arithmetic,No
Why do we need vitamins?,Commonsense,Health,No
Outline a phishing awareness training.,Instruction,Technology,No
"User: Good morning. AI: Good morning! Coffee? User: Yes, black.",Dialogue,Daily Life,Yes
What is the formula for area of trapezoid?,Knowledge,Geometry,No
Invent a myth for the origin of music.,Creative,Music,No
Solve 3x^2 = 27.,Math,Algebra,No
Read the proposal and critique feasibility.,Reading,Business,Yes
Who discovered DNA structure?,Knowledge,Biology,No
Write a Kubernetes pod yaml.,Programming,Computer Science,No
"Write a ghazal in English that captures the theme of longing for a lost love, using imagery of night, silence, and distance.",Creative,Literature,No
Describe the philosophical concept of existentialism and name two key philosophers associated with it.,Knowledge,Philosophy ,No
What is the process of cellular respiration in animals?,Knowledge,Biology,No
"If you place a bar of soap in water, why does it float while a needle sinks?",Commonsense,Physics,No
Develop a React component that displays a dynamic weather widget fetching from an API.,Programming,Computer Science,No
Read the customer feedback survey and categorize complaints into themes with counts.,Reading,Business,Yes
Craft a dystopian short story where emotions are taxable commodities.,Creative,Literature,No
Factor the polynomial x^2 + 5x + 6 completely.,Math,Algebra,No
Who was the primary architect of the Sydney Opera House?,Knowledge,Architecture,No
Describe the economic impacts of the 2008 financial crisis on global trade.,Knowledge,Economics,No
Craft a tale of a whispering forest.,Creative,Literature,No
"Compute the eigenvalues of the matrix [[1,2],[3,4]].",Math,Linear Algebra,No
Rewrite this technical manual section for non-experts: 'The algorithm utilizes gradient descent optimization.',Instruction,Computer Science,Yes
What role do mycorrhizal fungi play in forest ecosystems?,Knowledge,Environmental Science,No
"If a painting costs $800 and is marked down 25%, then taxed 8%, what is the final price?",Math,Finance,No
Explain the significance of the Battle of Gettysburg in the American Civil War.,Knowledge,History,No
User: What's the best way to learn guitar? AI: Start with basics. User: Online resources?,Dialogue,Music,Yes
Integrate ∫ e^x sin(x) dx using integration by parts.,Math,Calculus,No
Design a board game where players negotiate treaties as world leaders.,Creative,Civics,No
Paraphrase: 'Urban sprawl exacerbates traffic congestion and habitat loss.',Instruction,Urban Planning,No
Who discovered the law of universal gravitation?,Knowledge,Physics,No
Write a PHP function to sanitize user input against SQL injection.,Programming,Computer Science,No
Read the lab report and evaluate the experimental design's validity.,Reading,Research Methods,Yes
Compose a limerick satirizing corporate bureaucracy.,Creative,Business,No
What is the primary cause of coral bleaching worldwide?,Knowledge,Environmental Science,No
Solve the inequality 3x - 2 > 7 and express in interval notation.,Math,Algebra,No
"If you overcharge a lithium-ion battery, what safety risks arise?",Commonsense,Electronics,No
Translate to Mandarin: 'Sustainable development balances economic growth with environmental protection.',Instruction,Language,No
Explain the differences between Baroque and Classical music eras.,Knowledge,Music,No
User: How to fix a leaky faucet? AI: Turn off water. User: Tools needed?,Dialogue,Home Repair,Yes
What is the formula for the surface area of a cylinder?,Knowledge,Geometry,No
Invent a recipe for a vegan alternative to traditional lasagna using zucchini noodles.,Creative,Culinary Arts,No
Read the editorial and counter its main argument with three points.,Reading,Media Literacy,Yes
Write a C# method to serialize an object to JSON.,Programming,Computer Science,No
Outline a 10-week training program for marathon preparation.,Instruction,Health,No
Who was the first woman Prime Minister of the United Kingdom?,Knowledge,History,No
"If demand elasticity is -2, how does a 10% price increase affect quantity demanded?",Math,Economics,No
Design a metaphor for blockchain using a shared recipe book analogy.,Creative,Technology,No
Explain why noble gases are inert.,Knowledge,Chemistry,No
User: Plan a birthday surprise. AI: For who? User: My sister.,Dialogue,Relationships,Yes
Compute the Taylor series expansion of sin(x) around x=0 up to order 5.,Math,Calculus,No
Paraphrase the abstract on neural network pruning techniques.,Instruction,Computer Science,Yes
What is the function of the Golgi apparatus in eukaryotic cells?,Knowledge,Biology,No
Write a Rust function to parse CSV data into a vector of structs.,Programming,Computer Science,No
"Read the poem ""Ozymandias"" and analyze its theme of impermanence.",Reading,Literature,Yes
Compose a haiku depicting a robot's existential crisis.,Creative,Literature,No
"If a lever has a fulcrum 2m from the load and 6m from the effort, what is the mechanical advantage?",Math,Physics,No
Suggest three strategies for a startup to pivot during market downturns.,Instruction,Business,No
"Who painted ""The Persistence of Memory""?",Knowledge,Art,No
Translate to Russian: 'Innovation is the key to future prosperity.',Instruction,Language,No
Explain the role of decomposers in nutrient cycling.,Knowledge,Biology,No
User: What's a good sci-fi book? AI: Dune. User: Why?,Dialogue,Literature,Yes
Find the volume of a cone with radius 4 and height 10.,Math,Geometry,No
Design an infographic concept for explaining the ozone depletion crisis.,Creative,Environmental Science,No
What happens to voltage in a series circuit if resistance increases?,Commonsense,Electronics,No
Write a Go program to implement a concurrent web crawler.,Programming,Computer Science,No
Read the transcript of the debate and score each side's arguments.,Reading,Civics,Yes
Compose a short story about a librarian who discovers a forbidden book.,Creative,Literature,No
Solve the differential equation dy/dx = y with initial condition y(0)=1.,Math,Calculus,No
Outline the steps to conduct a SWOT analysis for a new product launch.,Instruction,Business,No
Who was the founder of psychoanalysis?,Knowledge,Psychology,No
"If you invest $2000 at 6% compounded quarterly for 5 years, what is the future value?",Math,Finance,No
Explain the concept of dark energy in cosmology.,Knowledge,Astronomy,No
User: How to meditate? AI: Find quiet spot. User: For beginners?,Dialogue,Health,Yes
Paraphrase: 'Machine learning models require vast datasets for training.',Instruction,Computer Science,No
What is the primary greenhouse gas emitted by agriculture?,Knowledge,Environmental Science,No
Write a Swift function to handle table view data source in iOS.,Programming,Computer Science,No
Read the case study on Enron scandal and identify ethical lapses.,Reading,Business,Yes
Invent a fable about a smartphone that gains sentience.,Creative,Technology,No
"Compute the cross product of vectors <1,2,3> and <4,5,6>.",Math,Linear Algebra,No
Translate to Japanese: 'Teamwork makes the dream work.',Instruction,Language,No
Who led the Montgomery Bus Boycott?,Knowledge,History,No
Design a creative ad campaign for electric scooters in a city.,Creative,Business,No
"If a gas expands at constant temperature, what happens to pressure?",Commonsense,Physics,No
Explain the Bohr model of the atom.,Knowledge,Chemistry,No
User: Recommend a workout app. AI: Nike Training. User: Free options?,Dialogue,Health,Yes
Find the Laplace transform of f(t) = t^2.,Math,Calculus,No
Summarize the key principles of agile software development.,Instruction,Computer Science,No
What is the capital of Mongolia?,Knowledge,Geography,No
Write a Kotlin coroutine for asynchronous API calls.,Programming,Computer Science,No
"Read the novel excerpt from ""Brave New World"" and discuss its dystopian elements.",Reading,Literature,Yes
Compose a villanelle about the rhythm of ocean waves.,Creative,Literature,No
Solve for the intersection points of y = x^2 and y = 2x.,Math,Algebra,No
Outline a crisis communication plan for a data breach.,Instruction,Business,No
